,Player,Height,Weight,G,PTS,TRB,AST,FG%,FG3%,FT%,Age,R_G,R_FG%,R_3P%,R_FT%,R_MP,R_PTS,R_TRB,R_AST
0,Cade Cunningham,6-8,220,27,20.1,6.2,3.5,43.8,40.0,84.6,20.0,64.0,0.416,0.314,0.845,32.6,17.4,5.5,5.6
1,Evan Mobley,7-0,210,33,16.4,8.7,2.4,57.8,30.0,69.4,20.0,69.0,0.508,0.25,0.663,33.8,15.0,8.3,2.5
2,Scottie Barnes,6-9,227,24,10.3,4.0,4.1,50.3,27.5,62.1,20.0,74.0,0.492,0.301,0.735,35.4,15.3,7.5,3.5
3,Jalen Suggs,6-4,205,30,14.4,5.3,4.5,50.3,33.7,75.4,20.0,48.0,0.361,0.214,0.773,27.2,11.8,3.6,4.4
4,Franz Wagner,6-9,220,55,12.0,6.1,2.0,46.5,32.5,83.5,20.0,79.0,0.468,0.354,0.863,30.7,15.2,4.5,2.9
5,Davion Mitchell,6-2,205,94,9.0,2.1,3.6,45.9,37.6,65.7,23.0,75.0,0.418,0.316,0.659,27.7,11.5,2.2,4.2
6,Ziaire Williams,6-8,185,20,10.7,4.6,2.2,37.4,29.1,79.6,20.0,62.0,0.45,0.314,0.782,21.7,8.1,2.1,1.0
7,James Bouknight,6-5,190,43,15.0,4.7,1.5,45.6,32.0,80.2,21.0,31.0,0.348,0.347,0.871,9.8,4.6,1.7,0.8
8,Joshua Primo,6-6,190,30,8.1,3.4,0.8,43.1,38.1,75.0,19.0,50.0,0.374,0.307,0.746,19.3,5.8,2.3,1.6
9,Chris Duarte,6-6,190,54,14.9,5.1,2.1,47.3,38.0,80.3,24.0,55.0,0.432,0.369,0.804,28.0,13.1,4.1,2.1
10,Moses Moody,6-6,205,32,16.8,5.8,1.6,42.7,35.8,81.2,19.0,52.0,0.437,0.364,0.778,11.7,4.4,1.5,0.4
11,Corey Kispert,6-7,220,137,11.6,4.0,1.4,48.3,40.8,82.4,22.0,77.0,0.455,0.35,0.871,23.4,8.2,2.7,1.1
12,Trey Murphy III,6-9,206,86,11.0,3.8,1.0,45.5,40.1,81.9,21.0,62.0,0.394,0.382,0.882,13.9,5.4,2.4,0.6
13,Tre Mann,6-5,190,53,10.2,3.6,1.9,42.2,34.9,78.8,20.0,60.0,0.393,0.36,0.793,22.8,10.4,2.9,1.5
14,Kai Jones,6-11,218,53,6.2,4.0,0.5,55.3,34.5,67.7,21.0,21.0,0.643,0.5,0.375,3.0,1.0,0.5,0.2
15,Jalen Johnson,6-6,195,123,5.6,2.4,0.8,41.4,37.1,85.6,20.0,22.0,0.537,0.231,0.714,5.5,2.4,1.2,0.1
16,Keon Johnson,6-5,186,27,11.3,3.5,2.5,44.9,27.1,70.3,19.0,37.0,0.353,0.34,0.804,18.8,7.2,2.2,2.1
17,Isaiah Jackson,6-7,225,23,3.1,1.7,0.3,35.5,23.1,75.0,20.0,36.0,0.563,0.313,0.682,15.0,8.3,4.1,0.3
18,Josh Christopher,6-5,215,15,14.3,4.7,1.4,43.2,30.5,80.0,20.0,74.0,0.448,0.296,0.735,18.0,7.9,2.5,2.0
19,Quentin Grimes,6-5,205,96,12.5,3.9,2.2,41.1,36.6,70.1,21.0,46.0,0.404,0.381,0.684,17.1,6.0,2.0,1.0
20,Cameron Thomas,6-4,210,29,23.0,3.4,1.4,40.6,32.5,88.2,,,,,,,,,
21,Jaden Springer,6-4,204,25,12.5,3.5,2.9,46.7,43.5,81.0,19.0,2.0,1.0,,,3.0,1.0,1.0,0.0
22,Day'Ron Sharpe,6-11,265,29,9.5,7.6,1.4,51.9,0.0,50.5,20.0,32.0,0.577,0.286,0.585,12.2,6.2,5.0,0.5
23,Santi Aldama,6-11,215,27,19.0,9.2,2.2,49.5,30.6,63.9,21.0,32.0,0.402,0.125,0.625,11.3,4.1,2.7,0.7
24,Jeremiah Robinson-Earl,6-9,230,56,12.8,9.0,2.1,47.8,30.1,76.8,21.0,49.0,0.414,0.352,0.741,22.2,7.5,5.6,1.0
25,Jason Preston,6-4,187,82,12.6,5.6,5.9,49.8,35.7,70.3,,,,,,,,,
26,Herbert Jones,6-7,210,60,5.1,2.7,0.7,51.1,30.0,50.0,23.0,78.0,0.476,0.337,0.84,29.9,9.5,3.8,2.1
27,Miles McBride,6-2,200,60,12.6,3.1,3.3,41.9,36.8,78.5,21.0,40.0,0.296,0.25,0.667,9.3,2.2,1.1,1.0
28,JT Thor,6-10,205,27,9.4,5.0,0.9,44.0,29.7,74.1,19.0,33.0,0.436,0.259,0.6,7.9,2.0,1.3,0.6
