Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST
1,Santi Aldama,21,32,360,53,132,6,48,20,32,33,87,21,6,10,16,36,132,0.402,0.125,0.625,11.3,4.1,2.7,0.7
2,Jose Alvarado,23,54,834,131,294,32,110,36,53,25,100,152,71,7,40,73,330,0.446,0.291,0.679,15.4,6.1,1.9,2.8
3,Joel Ayayi,21,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,0.167,0,,2.9,0.3,0.4,0.6
4,Dalano Banton,22,64,696,83,202,13,51,26,44,38,124,99,28,10,53,68,205,0.411,0.255,0.591,10.9,3.2,1.9,1.5
5,Cat Barber,27,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,0,,0,4.3,0,1,1
6,Scottie Barnes,20,74,2617,459,932,58,193,158,215,195,557,256,80,55,136,192,1134,0.492,0.301,0.735,35.4,15.3,7.5,3.5
7,Paris Bass,26,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,0.333,0,1,3.5,3,2,0
8,Charles Bassey,21,23,168,30,47,0,4,9,12,22,62,7,5,17,8,32,69,0.638,0,0.75,7.3,3,2.7,0.3
9,Leandro Bolmaro,21,35,241,17,54,5,18,11,13,16,43,21,6,0,13,26,50,0.315,0.278,0.846,6.9,1.4,1.2,0.6
10,Brandon Boston Jr.,20,51,760,125,325,34,111,59,72,17,111,51,26,13,31,43,343,0.385,0.306,0.819,14.9,6.7,2.2,1
11,James Bouknight,21,31,304,49,141,17,49,27,31,22,52,26,7,1,15,29,142,0.348,0.347,0.871,9.8,4.6,1.7,0.8
12,Chaundee Brown Jr.,23,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,0.313,0.333,0.833,20.8,6.2,3.2,0.8
13,Greg Brown III,20,48,640,81,190,19,61,44,65,38,135,35,26,24,36,90,225,0.426,0.311,0.677,13.3,4.7,2.8,0.7
14,Shaq Buchanan,25,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,0.25,0,,5,1,1,1
