,pick_overall,team_id,player,college_name
0,1,DET,cade-cunningham-1,Oklahoma State
2,3,CLE,evan-mobley-1,USC
3,4,TOR,scottie-barnes-1,Florida State
4,5,ORL,jalen-suggs-1,Gonzaga
7,8,ORL,franz-wagner-1,Michigan
8,9,SAC,davion-mitchell-1,Baylor
9,10,NOP,ziaire-williams-1,Stanford
10,11,CHO,james-bouknight-1,UConn
11,12,SAS,joshua-primo-1,Alabama
12,13,IND,chris-duarte-1,Oregon
13,14,GSW,moses-moody-1,Arkansas
14,15,WAS,corey-kispert-1,Gonzaga
16,17,MEM,trey-murphyiii-1,Virginia
17,18,OKC,tre-mann-1,Florida
18,19,NYK,kai-jones-1,Texas
19,20,ATL,jalen-johnson-1,Duke
20,21,NYK,keon-johnson-2,Tennessee
21,22,LAL,isaiah-jackson-1,Kentucky
23,24,HOU,josh-christopher-1,Arizona State
24,25,LAC,quentin-grimes-1,Houston
26,27,BRK,cameron-thomas-1,LSU
27,28,PHI,jaden-springer-1,Tennessee
28,29,PHO,dayron-sharpe-1,UNC
29,30,UTA,santi-aldama-1,Loyola (MD)
31,32,NYK,jeremiah-robinson-earl-1,Villanova
32,33,ORL,jason-preston-1,Ohio University
34,35,NOP,herbert-jones-1,Alabama
35,36,OKC,miles-mcbride-1,West Virginia
36,37,DET,jt-thor-1,Auburn
37,38,CHI,ayo-dosunmu-1,Illinois
38,39,SAC,neemias-queta-1,Utah State University
39,40,NOP,jared-butler-1,Baylor
40,41,SAS,joe-wieskamp-1,Iowa
41,42,DET,isaiah-livers-1,Michigan
42,43,NOP,greg-brown-9,Texas
43,44,BRK,kessler-edwards-1,Pepperdine
45,46,TOR,dalano-banton-1,Nebraska
46,47,TOR,david-johnson-1,Louisville
47,48,ATL,sharife-cooper-1,Auburn
48,49,BRK,marcus-zegarowski-1,Creighton
49,50,PHI,filip-petrusev-1,Gonzaga
50,51,MEM,brandon-bostonjr-1,Kentucky
51,52,DET,luka-garza-1,Iowa
52,53,PHI,charles-bassey-1,Western Kentucky
53,54,IND,sandro-mamukelashvili-1,Seton Hall
54,55,OKC,aaron-wiggins-1,Maryland
55,56,CHO,scottie-lewis-1,Florida
56,57,CHO,balsa-koprivica-1,Florida State
57,58,NYK,jericho-sims-1,Texas
58,59,BRK,raiquan-gray-1,Florida State
