,pick_overall,team_id,player,college_name,Draft
0,1,DET,Cade Cunningham,Oklahoma State,Round 1
2,3,CLE,Evan Mobley,USC,Round 1
3,4,TOR,Scottie Barnes,Florida State,Round 1
4,5,ORL,Jalen Suggs,Gonzaga,Round 1
7,8,ORL,Franz Wagner,Michigan,Round 1
8,9,SAC,Davion Mitchell,Baylor,Round 1
9,10,NOP,Ziaire Williams,Stanford,Round 1
10,11,CHO,James Bouknight,UConn,Round 1
11,12,SAS,Joshua Primo,Alabama,Round 1
12,13,IND,Chris Duarte,Oregon,Round 1
13,14,GSW,Moses Moody,Arkansas,Round 1
14,15,WAS,Corey Kispert,Gonzaga,Round 1
16,17,MEM,Trey Murphy III,Virginia,Round 1
17,18,OKC,Tre Mann,Florida,Round 1
18,19,NYK,Kai Jones,Texas,Round 1
19,20,ATL,Jalen Johnson,Duke,Round 1
20,21,NYK,Keon Johnson,Tennessee,Round 1
21,22,LAL,Isaiah Jackson,Kentucky,Round 1
23,24,HOU,Josh Christopher,Arizona State,Round 1
24,25,LAC,Quentin Grimes,Houston,Round 1
25,26,DEN,Bones Hyland,VCU,Round 1
26,27,BRK,Cam Thomas,LSU,Round 1
27,28,PHI,Jaden Springer,Tennessee,Round 1
28,29,PHO,Day'Ron Sharpe,UNC,Round 1
29,30,UTA,Santi Aldama,Loyola (MD),Round 1
31,32,NYK,Jeremiah Robinson-Earl,Villanova,Round 1
32,33,ORL,Jason Preston,Ohio University,Round 1
34,35,NOP,Herbert Jones,Alabama,Round 1
35,36,OKC,Miles McBride,West Virginia,Round 1
36,37,DET,JT Thor,Auburn,Round 1
37,38,CHI,Ayo Dosunmu,Illinois,Round 1
38,39,SAC,Neemias Queta,Utah State University,Round 1
39,40,NOP,Jared Butler,Baylor,Round 1
40,41,SAS,Joe Wieskamp,Iowa,Round 1
41,42,DET,Isaiah Livers,Michigan,Round 1
42,43,NOP,Greg Brown III,Texas,Round 1
43,44,BRK,Kessler Edwards,Pepperdine,Round 1
45,46,TOR,Dalano Banton,Nebraska,Round 1
46,47,TOR,David Johnson,Louisville,Round 1
47,48,ATL,Sharife Cooper,Auburn,Round 1
48,49,BRK,Marcus Zegarowski,Creighton,Round 1
49,50,PHI,Filip Petrušev,Gonzaga,Round 1
50,51,MEM,Brandon Boston Jr.,Kentucky,Round 1
51,52,DET,Luka Garza,Iowa,Round 1
52,53,PHI,Charles Bassey,Western Kentucky,Round 1
53,54,IND,Sandro Mamukelashvili,Seton Hall,Round 1
54,55,OKC,Aaron Wiggins,Maryland,Round 1
55,56,CHO,Scottie Lewis,Florida,Round 1
56,57,CHO,Balša Koprivica,Florida State,Round 1
57,58,NYK,Jericho Sims,Texas,Round 1
58,59,BRK,RaiQuan Gray,Florida State,Round 1
